,address_1_a,address_1_b,address_2_a,address_2_b,age_a,age_b,date_of_birth_a,date_of_birth_b,first_name_a,first_name_b,last_name_a,last_name_b,phone_number_a,phone_number_b,soc_sec_id_a,soc_sec_id_b,state_a,state_b,street_number_a,street_number_b,town_a,town_b,zipcode_a,zipcode_b
1990,hawkesbury crescent,hawkesbury crescent,,,,,19520215,19520215,jackson,jacidn,clutterbuck,clutterbuck,03 96260577,03 96260577,5060551,5067551,qld,qld,70,70,king river,king river,3128,3128
1991,chewings street,chewings street,diment towers,diment towers,24.0,24.0,19371229,19371229,yasmin,yasmin,browne,browne,02 05594405,02 05594405,6191941,6192491,wa,wa,5,119,southgate,southgyate,2049,2049
1992,medley street,medley street,malchi,malchi,27.0,27.0,19230420,19230420,hannah,hannah,berry,betrye,08 34665689,08 34665689,2440479,2440479,nsw,nsw,35,36,mcmahons point,mcmahona point,3193,3193
1993,maloney street,maloney street,,,27.0,28.0,19980211,19980211,morgan,morba,,,08 23133136,08 23133136,5251903,5259103,nsw,nsw,4,4,broadmeadows,broadmeadows,4160,4160
1994,napthali close,napthali close,,,12.0,12.0,19221009,19221799,mitchell,m.,vincent,vincdnt,08 91574997,08 91574997,3292300,3292200,sa,sa,11,11,south brisbane,south brisbane,3023,3023
1995,crockett place,crockett place,,,24.0,24.0,19131005,19130195,juliana,juliana,hemmings,hemmbgs,02 27701673,02 27701673,5873718,5873718,qld,qld,3,3,yamba,yamba,5061,5061
1996,feakes place,feakes place,lasswade,lasswade,31.0,31.0,,,benjamin,benjzmin,burgmann,burgmrann,07 19782724,07 19782724,1430947,1430947,qld,qld,15,1,mosman,mosman,6725,6725
1997,rosman circuit,rosman citcuit,,,36.0,36.0,19501026,19501026,cooper,cooper,painter,paine r,03 66637016,03 66637016,9716875,9716875,qld,qld,445,445,woodville gardens,woodville gtardens,2261,2261
1998,arabana street,arabana street,,,32.0,32.0,19931205,19931205,lucas,lucas,weller,well er,03 50988990,03 50988990,3215952,3215952,sa,sa,132,17,allawah,allawwh,2903,2903
1999,ennis place,ennis place,shingledale,shingledale,23.0,23.0,19540919,19540909,riley,riley,cecovic,cecovic,02 93979749,02 93979749,3272804,3272804,sa,,12,61,shoalwater,shoalwater,5073,5073
2000,gleadow street,gleadowczstreet,,,31.0,31.0,,,charles,charles,poliakova,poliakova,02 48334116,02 48334116,1989706,1989706,qld,qld,27,27,frankston,frankston,3977,3974
2001,dawson street,dawson street,winooka,winoola,35.0,35.0,19641123,19642123,montana,montaona,mulvey,mulvey,04 65754631,04 65754631,6873086,6873086,act,act,54,54,grenfell,grenfell,3130,3130
2002,clem hill crescent,clem hill crescent,rosetta village,rosetta village,30.0,30.0,19120921,19120921,ethan,ethan,haupt,hauot,07 54630806,02 47085763,8034658,8034658,nsw,nsw,75,76,loftus,loftus,5159,5159
2003,winser crescent,winser ceescent,,,13.0,13.0,,,caitlin,caitlin,bartos,bartoa,08 06264358,08 06264358,6495305,6495305,qld,qld,28,26,mitcham,mitcham,7325,7325
2004,chirnside circuit,brid place,cressy grove,cressy grove,25.0,25.0,19721130,19721130,nathan,nathan,beal,beal,08 81358590,08 81358590,7116653,7116653,sa,sa,261,261,marsfield,marsfihed,2323,2323
2005,ovens street,ovens street,fiveways,fiveways,26.0,39.0,19950316,19953016,,,cheel,cheen,07 03030505,07 03030505,7494753,7494753,vic,vic,61,61,ingham,ingham,5203,5203
2006,gleeson place,gleeson place,,,,,19850215,19850125,ethan,ethav,furseman,furseman,03 88984331,03 88984331,6389805,6389805,sa,sa,1038,1039,karratha,karratha,5600,5690
2007,pethebridge street,pethebridgetstreet,clinton caravan park,,38.0,38.0,19060414,19060414,meg,meg,elphick,elpjck,08 72177746,08 72177746,4428054,4428054,nsw,nsw,160,160,port macquarie,port macquarie,4721,4721
2008,antill street,antill street,rosetta village,,30.0,30.0,19460113,19460113,michael,michael,mccausland,mccauzland,,,9958215,9959215,nsw,nsw,256,256,beni,bein,2166,2166
2009,hodgson crescent,hodgson crescent,,,22.0,22.0,19910131,19910131,grayson,grayson,lavis,lavks,,,7047477,7047747,wa,wa,3,30,christie downs,christie downs,6061,6061
2010,badcoe street,badcoe street,bowillia court,,20.0,20.0,19870523,19870523,joshua,josh,ryan,ryah,07 03329235,07 03329235,8247897,8247897,nsw,nsw,30,30,clayton,clahton,6003,6003
2011,broadbent street,broadbent street,,,40.0,40.0,19850413,19850413,bayley,baily,hope,hopwe,04 00275621,04 00275621,5313462,5313462,vic,vic,18,18,ulverstone,ulverstone,2350,2350
2012,,,,,28.0,28.0,19561018,19561018,isabella,isabella,scheepens,scheepenos,02 59749910,02 59746910,8376882,8376882,vic,vv,282,282,monto,monto,5353,5353
2013,,,elvenwood,elvenwood,,,19420521,19420521,blayke,blayje,buckmaster,bucklmster,07 73667397,07 73667397,2417070,2417070,nt,nt,2,2,millbank,millbasnk,2217,2217
2014,herschell circuit,herschell circuit,,,13.0,13.0,19780313,19780313,charles,charles,binns,,07 11406455,07 11406455,2109578,2109578,qld,qld,10,10,kingston,kingston,5063,5063
2015,curnow place,curnoq place,,,36.0,36.0,19520909,19520909,harrison,harroson,zweifel,zweifel,02 15085152,02 15085152,4043740,4043740,nsw,nsw,3,3,niagara park,niagarxa park,0835,0853
2016,leahy close,leahy close,,,10.0,10.0,19260315,19260315,connor,connor,coltman,cotan,03 91983313,03 92989313,4466214,4466214,qld,qld,27,27,rio vista,rio vista,2232,2232
2017,tulloch place,tulloch place,,,33.0,30.0,19821126,19821196,annabel,annabel,reid,reie,07 78455401,07 78455401,1589347,1589347,wa,wa,10,10,thornlie,thornlie,0820,0820
2018,schlich street,schlich sstreet,,,,,19940625,19940625,louise,louise,fitzpatrick,,02 03163178,02 03163178,7980430,7980430,vic,vic,1,1,woongoolba,woongoflba,6160,6160
2019,hurley street,hurley street,,,29.0,29.0,19631231,19631231,hayley,hayley,webb,webb,08 08816555,08 08816555,7328274,7328274,sa,sa,61,61,mortlake,mortlake,3182,3182
2020,carbeen street,carbeen street,opal cove resort,opal cove resort,34.0,43.0,19700717,19700717,jackson,jacison,coulson,coulson,07 60148843,07 60148843,2612785,2612785,nsw,nsw,127,127,asquith,asquith,3886,3828
2021,baseby place,baseby place,carnsdale,carnsdale,,,19190728,19198728,william,william,boxhall,boxhall,08 10319161,08 10319161,4631528,4631248,vic,vic,29,29,mount annan,mount annan,5048,5084
2022,liffey circuit,liffey circuit,brentwood vlge,,20.0,20.0,19180722,19180272,kirra,k.,lowe,lose,03 73239423,03 73239423,3485619,3485619,nsw,,56,56,daisy hill,daisy hill,2141,2141
2023,campaspe circuit,campaspe circuit,,,12.0,12.0,19941003,,luke,luke,white,white,07 82593727,07 82593727,3164659,3164659,nsw,nsw,241,26116,cottage point,cottage point,2162,2162
2024,denny street,denny sgreet,oakgrove,oakgrove,24.0,27.0,19030806,19030806,dominic,d.,chandler,chandler,02 50787510,02 50787510,5386477,5386477,vic,vic,341,341,west croydon,westcroydon,2066,2066
2025,william webb drive,williamwebbdrive,,,31.0,31.0,19440718,19440718,joshua,joshua,varcoe,varcoe,02 19997537,02 19997537,2574944,2574944,vic,vuo,14,14,broken hill,broken hill,3011,3011
2026,bertram street,bertrajdtreet,,,27.0,27.0,19170307,19170307,eleanor,eleanor,leslie,leslie,03 50736634,03 50736634,5306534,4502208,qld,qld,28,28,corowa,corowa,2200,2200
2027,waller crescent,waller crescent,sit 9,sit 9,24.0,24.0,19891030,19891070,liana,liana,bail,bail,08 36258806,08 36258806,3618409,3618409,nsw,nsw,7,8,richmond hill,richmond hill,2640,
2028,owen dixon drive,owen dixno drive,,,37.0,37.0,,,zachary,zachzry,sette,sette,07 19385274,07 19385274,8611232,8611622,,,1,1,dianella,dianella,2066,2066
2029,mawson drive,mawson drive,glenbach,,,,19200205,19330210,archie,arche,doring,doring,08 55923885,08 55923885,5996681,5996681,nsw,nsw,4,4,yagoona,yagoona,7011,7011
2030,nulsen circuit,nulsen dkrcuit,,,,,19170617,19170617,hayley,hayley,maynard,maynard,08 07832118,08 07832518,2379784,2379784,wa,wa,75,76,whitebridge,whitebridge,5167,5167
2031,deloraine street,delorained treet,,,33.0,33.0,19571229,19571229,darcy,darcy,crosswell,crosswell,02 02530742,02 02530742,6488162,6488162,nsw,nsw,43,5,warrandyte,warrandyte,7008,7008
2032,clive steele avenue,clive steele avenue,,,30.0,34.0,19930916,19930916,cooper,coopre,mckiernan,mckiernan,03 40815677,03 40815677,3807976,3807976,vic,vic,107,107,point vernon,point vernon,2142,2142
2033,mayne street,mayne street,else wares,else wares,9.0,9.0,19851221,19851221,jacinta,nguyen,nguyen,jacinta,03 13794011,03 13794011,7174673,7174673,vic,vic,25,25,elizabeth vale,elizabeth vale,3912,3941
2034,michie street,michie street,,riverpark lodge,29.0,29.0,19770211,19770211,yasmin,yasmin,wiseman,wiseman,04 45962803,04 45962803,3287636,3287686,nt,nt,32,32,noble park,noble park,2150,2195
2035,morant circuit,morant chrcuit,,,27.0,27.0,19841108,19841108,amalia,amaiia,warnett,warnett,08 57792133,08 57792133,8389520,8389260,vic,vic,58,58,bonbeach,bonbeach,5422,5422
2036,anne clark avenue,anne clatl avenue,,,,,19960225,19960225,amy,amy,shepherd,shepherd,04 58972662,04 58972662,6573361,6573361,tas,tas,744,717,kyabram,kyabram,2099,2099
2037,jennings street,jennings street,,,,,19790405,19790405,harrison,harridon,miles,myles,03 43453939,03 43453939,3095924,3099542,wa,wa,5,5,port sorell,port sorell,2500,2500
2038,muirhead place,muirheas place,,,36.0,36.0,19361117,19361117,cooper,cooper,thorpe,thohpe,,,7264161,7264161,nsw,nss,47,47,buff point,buff point,4068,4068
2039,sid barnes crescent,sid barnes crescent,rowethorpe,rowetorte,31.0,31.0,19110123,,michelle,michelle,swiggs,swihgs,07 24570862,07 24570862,3292931,3292931,vic,vic,6,6,preston,preston,4670,4670
2040,rivett street,rivett street,hamilton,,26.0,26.0,19330730,19330730,seth,setj,green,green,07 80046824,07 80046824,5067809,5067890,vic,vic,132,132,ramsgate,ramsgate,2428,2428
2041,nimbin street,nimbin street,swanleigh,swanleigh,7.0,7.0,19590817,19590177,benjamin,benjwmin,hauser,hauser,02 08262539,02 08262539,9771318,9771318,wa,wa,21,21,murray upper,murray upper,2042,2402
2042,ardlethan street,ardlethaxnstreet,masonic retirement village,masonic retirement village,29.0,29.0,,,tiana,paterson,paterson,tiana,03 25236682,03 25236682,5420229,5420229,nsw,nsw,11,11,lutwyche,lutwyche,5075,5075
2043,catani place,sprent street,,,26.0,26.0,19561024,19561024,brayden,brayden,holme,holme,03 78631236,03 78631236,9511783,9511783,vic,vic,1,1,port fairy,port fssiry,5165,5165
2044,rodway street,rodway street,,,31.0,31.0,19960319,19960319,zac,zac,salt,salt,04 21230161,03 32292742,6428722,6428722,wa,eq,20,20,gorokan,gorojan,3138,3138
2045,moorhouse street,moorhous e street,mountview,mountview,26.0,26.0,19870517,,nathan,nathan,clarke,clarke,07 69366753,07 69366753,4176639,4176638,nsw,nsw,33,33,o'sullivan beach,o'sullivan beach,4872,4862
2046,archibald street,archibald street,,,23.0,23.0,19860113,19860118,ethan,ethan,doman,dokan,08 47258928,08 47258928,1867806,1867806,nsw,nsw,22,29,williamstown,williamstown,2835,2835
2047,longmore crescent,longmore cescent,wayamba,wayamba,31.0,31.0,19120514,19120514,matilda,matildta,pyper,pyper,,,7792179,7792179,wa,xd,22,22,blayney,blayney,6027,6027
2048,reader court,reade ckourt,ballow chambers,,,,,,keelin,keelin,culbertson,culbertspn,08 13842477,08 13842477,2022380,2022380,nsw,nsw,34,34,o'sullivan beach,o'sullivan beach,2443,2443
2049,carruthers street,carruthers street,,,30.0,36.0,19770609,19770609,samuel,samuel,bradshaw,bradshaw,07 34619483,07 34619483,7496140,7496140,nsw,nsw,15,53,oakville,oakville,4130,4130
2050,trott place,trott place,,,33.0,33.0,19790818,19780818,nemesia,nemesia,webb,webbce,04 63012869,04 63012869,1353156,1353156,,,2,1,kardinya,kardinya,4650,4650
2051,mckay street,mckay street,peak view,,7.0,7.0,19920429,19924092,jacob,jacob,webb,web,07 34257805,07 34257805,2194111,2194111,nsw,nsw,138,138,new town,new town,7000,7000
2052,doonkuna street,doonkuna street,mariner views,mariner views,23.0,13.0,19251124,19251124,caitlin,c.,hammill,hammill,04 37030722,04 37930722,9595496,9595496,vic,vic,2,2,cooranbong,coorounbong,2611,2611
2053,st john crescent,st john crescent,emerald garden,,,,,,georgia,georgia,vandersman,vandersman,03 98586416,03 98586416,3819637,3819637,nsw,nsw,32,32,east innisfail,east innisfail,2870,2870
2054,tantangara street,tantangara street,,,33.0,39.0,19310128,19310128,christina,c.,toscano,toscano,07 12485078,07 12485078,6822694,6822294,qld,qld,9,9,alice springs,alice rpings,2234,2234
2055,,,,,28.0,28.0,19721005,19721005,tayah,taya,burford,burford,04 48370606,04 48370606,9780098,9780098,nsw,nsw,31,34,riverstone,river stine,6151,6151
2056,parer street,parer svreet,amelia,amelia,26.0,26.0,19840509,19840489,henry,henry,cosenza,cosnza,08 00421616,08 00421616,8540718,8540718,qld,qld,559,559,mitcham,mitcham,2323,2323
2057,willcock place,willcock place,christie street,christie street,36.0,36.0,19370215,19370215,bianca,bianva,bloomfield,bloomfield,02 78845862,02 78845862,2676900,2677900,vic,vic,34,34,lachlan,lachoyn,7307,7307
2058,jeanette place,jeanette place,,,31.0,31.0,19810624,19810624,dylan,dyla,morrison,morrgisln,08 25018527,08 25018527,1625201,1625201,nsw,nsw,12,12,box hill south,box hillsouth,4019,4019
2059,twamley crescent,twamley crescent,brentwood vlge,brentwood vlge,28.0,27.0,19630507,19630507,mikayla,mikayla,kisch,kisch,04 75064708,04 75064708,4212071,4212071,vic,vic,5,6,port macquarie,port mawuarie,2118,2118
2060,skinner street,,,,23.0,23.0,19240328,19240328,olivia,oilve,clarke,clarke,08 04997773,08 04997773,7043344,7043344,nsw,nsa,12,12,lake cargelligo,lake cargelligo,4878,4878
2061,darby street,darby sfreet,corella,corella,10.0,10.0,19340503,19340530,indyana,indyana,roles,rols,02 57995964,02 57895964,6739498,6739498,nsw,nsw,190,190,deniliquin,deniliquin,2871,2871
2062,ogilvie place,ogilvie yplace,flr 5 john flynn medical centre,flr 5 john flynn medical centre,29.0,29.0,,,harry,harry,lodge,lodge,07 25389391,07 25389391,3261275,3216275,nsw,nsw,17,17,normanhurst,normanhust,2198,2198
2063,freda gibson circuit,freda gibson circuit,swans feather,swans feather,21.0,21.0,19910730,19910730,teagan,teagan,wegman,wegmn,07 87101421,07 87101421,6446926,6446926,wa,wa,1175,1185,east maitland,east mailand,7300,7300
2064,allott place,allott place,treetops,treetops,,,19950601,19956001,ellorah,ellordh,gibb,gibb,08 34135874,08 34135874,3368289,3368289,wa,wa,15,15,woodpark,woodpsk,4575,4575
2065,elvire place,elvire pace,,,31.0,31.0,19791106,19791106,jessica,jessica,clarke,clark,02 34870893,02 34870893,2938344,2938344,qld,qod,4,4,greenacre,greenacre,4815,4815
2066,givens street,givens sgreet,woden,woden,32.0,32.0,19280622,19280622,ethan,urquhart-fisher,urquhart-fisher,ethan,,,9273249,9273249,sa,sa,6,6,lawrence,lawrenfe,4178,4178
2067,fawkner street,fawkner street,corporate house,,22.0,22.0,,,abigail,abigali,howie,howwe,04 27343393,04 27343393,6042019,6042019,qld,qld,82,82,mullumbimby,mullimbimby,4223,4223
2068,baker garden,baker garden,,,36.0,36.0,19560111,19390420,jenna,j.,sorieno,soridno,04 50937970,04 50937970,1319233,1319233,vic,vic,118,138,baxter,baxter,4221,4221
2069,ebenezer street,ebenezer street,,,33.0,33.0,,,dimitri,dimitiros,emerton,emerton,04 46948839,04 46744839,9392366,9392366,qld,qld,31,31,moorooka,moorooka,5088,5088
2070,canaway place,canaway place,mapperley,mapperley,13.0,13.0,19750928,19750928,maya,maya,mahony,,04 65330113,04 65330113,9328190,9328940,nsw,nsw,289,289,robertson,robertson,2160,2160
2071,blakey close,blakeykclose,b,,30.0,30.0,19070227,19070227,emiily,emiilz,hope,hope,04 64717272,04 64717272,8955152,8955152,wa,wa,22,22,canterbury,canterbury,2223,2223
2072,lowanna street,lowanna street,sheep station,sheep syaption,32.0,32.0,19760216,19760216,bridget,bridet,wisby,wisby,07 57424874,07 57424874,3017671,3016771,vic,vic,1154,1154,bossley park,bossley park,4303,4303
2073,grund place,grund plafe,elmwood,,25.0,25.0,19800212,19800212,edward,edward,doody,doodp,04 58457262,04 58457262,6699037,6699037,nsw,nsw,13,13,,,4220,4220
2074,murrell place,murrell place,tannamurra,tannamurra,25.0,25.0,19600421,19600421,michael,m.,kopecki,kopecki,07 67047218,07 67047218,1848918,1848918,qld,qlk,8,355,bundaberg,bundaberg,,
2075,halligan place,halligaon place,hstgs,hstgs,31.0,26.0,19221018,19221018,chloe,chloe,felton-taylor,felton-taylor,08 15613131,08 15613131,1163289,1163829,sa,sa,30,30,morwell,morwell,2082,2082
2076,de graaff street,de graaff street,,,12.0,12.0,19610721,19619721,lucy,lucy,melham,melha,08 72067458,08 72067458,5240142,5240412,,,12,12,newcastle,newcastley,3128,3128
2077,badgery street,badgerye street,,,13.0,13.0,19320410,19320410,,,woodlock,woodhlock,02 61608219,02 61608219,5248942,5248942,qld,qld,20,294,geelong east,geelong east,2153,2153
2078,herschell circuit,herschell circuit,,,40.0,40.0,19040711,19040710,kalli,kalli,noble,noble,08 23663681,08 23663681,4015588,4015588,nsw,nsw,10,500,noble park,noble park,3730,3730
2079,campaspe circuit,campaspe yircuit,,,26.0,26.0,19990622,19990622,,,koolen,kooklen,07 91033140,07 91003140,3643277,3643277,vic,vic,16,16,point vernon,point vzernon,3024,3024
2080,endeavour street,endeavour street,villa 5,vil la 5,27.0,,19270614,19207514,,,bowerman,bowerman,03 11521543,03 11521543,7512998,7512998,vic,vic,11,11,exmouth,exmouth,3825,3825
2081,rowntree crescent,rowntree crescent,,,28.0,20.0,,19000577,,,mason,mason,07 08385296,07 03885296,8331184,8331184,vic,vic,50,50,stockton,stockton,2153,2153
2082,armstrong crescent,armstronf cfescent,willyaroo street,willyaroo street,7.0,7.0,19021203,19021203,mitchell,mitchell,sager,sagjer,07 88987412,07 88987412,2122402,2122402,qld,qld,5,5,suffolk park,suffolk park,2229,2228
2083,service street,service street,,,33.0,33.0,19640830,19640830,ebony,,burleigh,burleigh,03 07194705,08 45891556,7362752,7362752,nsw,ndw,18,18,altona meadows,altona meadows,4078,4078
2084,macalpine close,macalpine qclose,,,32.0,32.0,19060704,19060704,ethan,ethan,reid,reid,04 96112890,04 96112890,3069627,3069627,wa,wa,17,17,wallaville,wallarvklle,4019,0419
2085,deamer crescent,deamer crescent,,,27.0,27.0,,,jackson,jackson,morrison,cowdll,04 46408281,04 46808281,7421551,7421551,nsw,nsw,33,33,matraville,matraville,5038,5038
2086,jondol place,jondol lace,,,32.0,32.0,19700719,19700701,miller,miller,curry,curry,03 13128690,03 13128690,7253153,7253153,qld,qld,1,1,bacchus marsh,bacchus mzrsh,3107,3107
2087,mcauliffe court,mcauliffe court,aichookoora,aichoomoora,32.0,32.0,19411113,19580516,chloe,chloe,white,,02 66270222,02 66270222,9551297,9551297,vic,vic,19,19,berwick,berwcik,2611,2611
2088,marconi crescent,marconi vrescent,,glen house,29.0,29.0,19020731,19020731,kaysey,kayaey,ho,ho,03 19631923,03 19631923,2321190,2321190,nsw,ksw,594,594,nunawading,nunawading,2145,2145
2089,pocket avenue,pocket avenue,,,,,19120905,19120905,lachlan,lachlna,etherington,etherington,02 61500665,02 61500665,8230025,8230025,vic,ic,45,47,elwood,elwood,2537,2537
2090,hopetoun circuit,broome vacation village,broome vacation village,hopetoun circuit,30.0,30.0,19060414,19060414,henry,henry,webb,webb,02 74374081,02 74374081,8938268,8932688,wa,wa,15,15,frankston,frankston,4580,4580
2091,foveaux street,foveaux street,,,31.0,31.0,,,nikita,nikita,walch,wak h,02 36048407,02 36048407,7695328,7695328,sa,sa,13,13,parkside,parksie,2032,2032
2092,crace street,crace street,,,12.0,12.0,19790409,19790409,catherine,catherine,knappstein,knappstein,08 35174158,08 35274158,6534468,6534768,sa,ss,8,8,maryborough,margborough,3094,3094
2093,duffy street,duffykatreet,,,,,19320424,19320442,sam,samp,grillett,grillett,02 39741770,02 39741770,7806694,7806694,sa,sa,38,38,marmong point,marmong point,6055,6055
2094,pearson street,pearsonatreet,johnflynn medical centre,johnflynn medical centre,32.0,32.0,19291013,19291013,joel,joel,rees,redw,08 30100256,08 30100256,8881926,8881926,wa,wa,176,176,auburn,auburn,5301,5301
2095,namatjira drive,namatjira drive,,,39.0,,19030816,19030196,oliver,oliver,boulter,boulter,03 16111598,03 16111598,2584520,2584520,vic,vic,20,20,surfers paradise,surfers pwradise,3909,3909
2096,rohan rivett crescent,rohan rivett crescent,,,28.0,28.0,19200103,19200103,adam,addmao,green,green,04 10189364,04 10189364,5828739,5828739,sa,sa,183,183,moorabbin,mooranbin,2113,2131
2097,tenison-woods circuit,tenison-wlods circuit,kalang,,12.0,12.0,19740909,19749909,koula,koula,,,02 85278708,02 85278708,9236990,9236990,nsw,nsw,50,50,mansfield,mansield,7250,7250
2098,mulvany place,mulvany place,,,26.0,26.0,19301207,19301207,joel,jo,fitzpatrick,fitzpatrick,03 62023712,03 62023712,4705110,4705110,nsw,nsw,730,740,taree,tare,4850,4850
2099,clive steele avenue,clive steele avenue,,,26.0,26.0,,,nicholas,nicjvlas,galinec,galinec,02 34834568,02 34834568,1084374,1084374,qld,qld,46,46,devonport,devonport,2780,2780
2100,mathieson crescent,mathieson vxescent,,,26.0,26.0,19270807,19278607,kaitlin,kaitlin,edgecombe,edgecombe,04 06230133,04 06230133,3716939,3716939,qld,qld,3,3,belmont,belmont,2580,2580
2101,mulvey place,mulveyplace,,,29.0,29.0,19740219,,lauren,aide,dibben,dibben,08 67666337,08 67666337,6682255,6682255,nsw,nsw,2,2,west wollongong,west wollongong,7277,7277
2102,beetaloo street,beetaloomtreet,mintarra,mintarra,21.0,21.0,,,emiily,emiily,blackwell,blackwell,02 69404142,,6199668,6199668,qld,qld,45,4,vaucluse,vaucluse,6084,6084
2103,moorehead place,moorehead place,,,29.0,13.0,19481225,19481225,makenzi,makenzi,westbrook,westbrook,04 27618552,04 27618552,4880392,4880392,qld,qld,24,24,harbord,harbord,3201,3230
2104,edman close,edman xlose,,,,,19871219,19871219,jenna,jenna,white,white,08 83291126,08 83292126,2806165,2806165,sa,sa,25,,elwood,elwopd,3910,3910
2105,fremantle drive,,glendower,glendower,19.0,19.0,19690415,19690415,eva,eva,castelluzzo,castelluzzo,03 22575122,07 34109107,5498588,5498588,qld,qld,89,89,mosman,mosmn,3260,3260
2106,jalanga crescent,jalangabrescent,,,35.0,35.0,19871228,19871228,kierra,kierra,paterson,paterson,04 27206081,04 27206081,1077907,1077907,nsw,ns,143,183,st albans,st albans,5011,5011
2107,abrahams crescent,abrahams crescent,,,30.0,30.0,19250320,19250320,irene,irene,green,green,08 31052042,07 51437786,2959836,2959836,nsw,nsx,9,4,carrara,carrara,3078,3078
2108,tiegs place,tiegs place,james thomas court,james thomas court,,,19100402,19100602,annabella,,pavlos,pavlos,04 39716444,04 39716444,9515713,9515713,nsw,nsw,999,999,kariong,kariog,2304,2304
2109,cowdery place,cowdery dlace,,,25.0,26.0,19230519,19230519,jacqueline,jacqueline,dakin,dakin,08 20608496,08 20608496,9689010,9689010,nsw,nsw,114,114,eight mile plains,eight mile gplains,6233,6233
2110,caladenia street,caladenia street,,,31.0,31.0,19591206,19591206,holly,,hilton,hikon,04 04408784,04 04408784,4012381,4012381,,,6,6,penrith,penrith,2126,2126
2111,cavenagh place,cavenagh place,ferndale,,20.0,20.0,,,daniel,dannie,winfield,winfield,02 32062996,02 32062996,6275616,6275616,wa,wa,3,3,carlingford,carlingford,4165,4614
2112,beazley crescent,beazley crescent,,,26.0,26.0,19290510,19290510,nathan,nathan,buscall,buscalsl,04 07066871,04 07066871,2438248,2438248,vic,vic,57,57,north ryde,northryde,3135,3135
2113,leist street,leist street,,,34.0,34.0,,,benjamin,benjadmin,thredgold,thredgold,08 35640634,08 35640634,4125285,2387305,nsw,nsw,43,43,riana,riana,6370,6370
2114,quambone place,quambonefphace,,,,,19540322,19540322,mikhayla,mikhayla,campbell,cambqll,07 73021543,07 73021543,7457187,7457187,nsw,nsw,34,34,albion park,albion park,3106,3106
2115,wanganeen avenue,wanganee avenue,standbye,standbye,22.0,22.0,19430507,19430507,joshua,joshua,hague,hague,07 52106192,07 52106192,9685226,9685226,nsw,nsw,21,2,seaview downs,seavie downs,2443,2443
2116,holyman street,holyman itreet,rosetta village,rosetta village,39.0,39.0,19000101,,nicholas,nicholas,garnsey,garnsey,08 92939375,08 92939375,7789646,7789646,nsw,nsw,32,31,freshwater,freshwater,3820,3820
2117,bruxner close,bruxner close,,,22.0,22.0,19660423,19660423,harry,harry,white,whik,03 83533875,03 83533875,1196992,1196992,wa,wa,12,13,camira,camira,6035,6035
2118,jackie howe crescent,jackie howe crescent,villa 2,villa 2,32.0,32.0,,,jenna,jenna,marlow,callahan,07 40557623,07 40557623,4356291,4356291,qld,qml,12,12,athelstone,athelstone,2720,2724
2119,westgarth street,westgarth street,gungarlin,gungarlin,38.0,,19890801,19890801,mitchell,mitchell,fullwood,fullsood,03 40230490,03 40238490,1898551,1898551,nsw,nsw,117,117,mooloolaba,mooloolaba,4740,4740
2120,erskine street,erskine street,,,34.0,34.0,19880415,19884015,joel,joek,milburn,milburn,08 24043719,08 24043719,2786835,2786835,,,7,7,vermont south,vermont south,4680,6019
2121,brassey street,brassey street,,,28.0,28.0,,,bailey,bailrh,nguyen,nguyen,07 82672915,07 82672915,2463093,2462493,vic,vic,35,35,tweed heads south,tweed heads south,4211,4211
2122,cotton street,cotton street,arawang,arawang,31.0,31.0,19200513,19870502,luke,luke,chandler,chandlmer,03 80945047,03 80945047,7513482,7513492,nsw,nsw,2,2,moorabbin,moorabbin,4301,4307
2123,normanby crescent,normanby crescent,,,28.0,28.0,19580329,19580329,ella,ella,campbell,cambell,02 20488245,02 20488245,5360241,5360241,qld,qld,68,67,noble park,noble pqrk,2770,2770
2124,melville place,melville place,palazz,,33.0,33.0,19140102,19140102,charli,charli,gatward,gatwarn,07 50226673,07 50226673,7852643,7852643,wa,wa,3,3,kilsyth,kilsyth,6011,4195
2125,mataranka street,mataranka street,,,32.0,32.0,19130722,19130722,harry,hatry,white,white,03 40819231,03 40817231,1409173,1409173,qld,qld,3,3,north ward,north ward,4064,4640
2126,darling street,darling street,,,32.0,30.0,19821109,19821109,ryan,r.,campbell,cambpll,03 35211457,03 35221457,5918109,5918109,nsw,nsw,414,414,cronulla,cronulla,2066,2066
2127,midge street,midge street,thistle dale lodge,,25.0,25.0,19920301,19920301,alisha,alisha,mccarthy,mccaruhy,04 73225067,04 73225067,3953551,3953541,qld,qld,36,36,castle cove,castle cove,2264,2264
2128,alt street,alt street,,birrabilla,31.0,36.0,19410423,19410422,jordan,jordan,roche,roche,03 20809526,03 20809526,8533036,8533036,vic,vic,13,13,kurmond,kurmolnd,2112,2112
2129,emery street,emery street,,,,,19200121,19200631,matisse,matusse,scarce,scavce,07 25265263,07 25265263,6269841,6269841,nsw,nsw,30,30,wattle park,wattle park,4655,4655
2130,hemmant street,hemmant street,,,26.0,26.0,19420911,19429011,natalia,natadia,turbitt,turbitt,07 24152916,07 24152916,9016772,9016772,qld,qld,16,1,repton,,5253,5253
2131,mackellar crescent,mackellar ieescent,yaldara,yaldara,29.0,29.0,19220301,19223301,jasmine,jasmine,george,george,08 08231374,08 08231374,8274229,8274229,,,91,91,leichhardt,leichhardt,3029,3092
